payment_order_id,payment_amount,payment_fee,payment_method,payment_status
70916788,123.7,3.34,ONLINE,PAID
70917117,38.9,0,ONLINE,PAID
70917128,56.7,0,MEAL_BENEFIT,PAID
70917296,44.5,0.89,ONLINE,PAID
70917326,33.9,0.51,ONLINE,PAID
70917398,81.3,2.2,ONLINE,PAID
70917550,213.65,2.88,DEBIT,PAID
70917664,166.4,2.5,ONLINE,PAID
70917760,31.81,0.45,CREDIT,PAID
70917780,35.8,0.54,ONLINE,PAID
70917817,18,0.36,ONLINE,PAID
70917818,121.7,3.29,ONLINE,PAID
70917925,51,0,MEAL_BENEFIT,PAID
70917934,69.7,1.05,ONLINE,PAID
70917948,123.79,2.48,ONLINE,PAID
70918004,25.4,0.38,ONLINE,PAID
70918005,44.9,0.67,ONLINE,PAID
70918057,24.49,0.37,ONLINE,PAID
70918155,58.9,0.88,ONLINE,PAID
70918538,88.6,1.15,ONLINE,PAID
70918695,26.9,0.4,ONLINE,PAID
70918706,73.7,0,MEAL_BENEFIT,PAID
70918709,36.8,0.55,ONLINE,PAID
70918710,49.8,0,MEAL_BENEFIT,PAID
70918741,142.81,2.14,DEBIT,PAID
70918756,35.8,0.54,CREDIT,PAID
70918789,27.4,0.41,ONLINE,PAID
70918863,93.9,1.41,ONLINE,PAID
70918965,34.9,0.52,ONLINE,PAID
70919020,68.6,1.03,CREDIT,PAID
70919079,43.8,0,ONLINE,PAID
70919128,40.7,0.61,ONLINE,PAID
70919302,32.88,0.49,ONLINE,PAID
70919530,40.8,0.53,ONLINE,PAID
70919590,39.8,0.6,ONLINE,PAID
70919632,27.89,0.42,ONLINE,PAID
70919677,114.89,2.3,ONLINE,PAID
70919711,30.9,0.43,ONLINE,PAID
70919733,130,2.6,ONLINE,PAID
70919761,6.9,0.1,ONLINE,PAID
70919772,68.4,1.85,ONLINE,PAID
70919811,33.1,0.5,ONLINE,PAID
70919812,20.8,0.31,STORE_DIRECT_PAYMENT,PAID
70919814,20.8,0.31,STORE_DIRECT_PAYMENT,PAID
70919857,20.8,0.31,STORE_DIRECT_PAYMENT,PAID
70919867,117.1,1.76,ONLINE,PAID
70919927,11.91,0,VOUCHER_STORE,PAID
70919958,54.3,0.81,ONLINE,PAID
70919974,62.7,0.94,MONEY,PAID
70919976,55,0,ONLINE,PAID
70920095,118.4,1.78,ONLINE,PAID
70920205,165.4,4.47,ONLINE,PAID
70920206,70.5,0,MEAL_BENEFIT,PAID
70920314,40.9,0,ONLINE,PAID
70920332,92.7,2.5,ONLINE,PAID
70920337,131.7,3.56,ONLINE,PAID
70920347,53.3,0.8,ONLINE,PAID
70920349,239.85,4.8,ONLINE,PAID
70920357,58.2,0,MEAL_BENEFIT,PAID
70920435,116.7,1.74,ONLINE,PAID
70920444,228.76,4.58,ONLINE,PAID
70920600,35.9,0.54,ONLINE,PAID
70920674,31,0.47,ONLINE,PAID
70920741,186.6,5.04,ONLINE,PAID
70920786,24.8,0.37,ONLINE,PAID
70920788,57.87,0.87,ONLINE,PAID
